mi1_root_id,postion_x,postion_y,postion_z,m6_x,m6_y,m6_z,theta,phi,hemisphere
720575940611054798,768832,190560,132840,756844,198574,151893,52.6,97.9,R
720575940611126648,799700,306656,123440,776199,300484,142649,3,64.8,R
720575940611216867,790272,334512,126960,769137,325874,148350,-8.4,58.5,R
720575940611352469,755596,215868,109720,745362,222637,127917,32,120.3,R
720575940611361378,783948,310808,111080,764059,304053,133423,-0.1,79,R
720575940611362965,824896,323508,158600,796072,315440,172120,2,37.4,R
720575940611489746,834380,291340,165560,806212,287368,176045,10.4,35.5,R
720575940611524835,843692,231692,193320,815921,236352,203323,34.1,16,R
720575940611551857,844516,316004,197440,814724,305846,205551,7.5,6.2,R
720575940611625238,759820,250880,98120,744941,250407,119447,16.5,115.6,R
720575940611667154,826188,230064,166880,801285,234167,178917,34.2,39.5,R
720575940611685489,767128,384896,161640,749077,369100,172205,-33.5,33.1,R
720575940611686513,797296,227564,132800,779764,234879,151159,32.5,73.1,R
